,Tweet,Time,nb_favorites
0,sbf bad leagu nuff,2022-12-03 21:47:42+00:00,90143
1,twitter server run warp 9,2022-12-03 10:36:59+00:00,426073
2,tune episod 2 twitter file tomorrow,2022-12-03 02:19:07+00:00,538458
3,go,2022-12-02 23:44:15+00:00,375881
4,realli happen hunter biden stori suppress twitter publish twitter 5pm et,2022-12-02 20:39:24+00:00,684230
5,major twitter system improv implement week drop hammer hard spam scam account take jus,2022-12-02 20:06:20+00:00,60867
6,twitter now serv 90 billion tweet impress per day incred aliv system actual,2022-12-02 19:46:45+00:00,229668
7,hate speech impress time tweet view continu declin despit signific user growth,2022-12-02 18:53:08+00:00,115013
8,know twitter fair extremist far right far left simultan upset twitter aim,2022-12-02 16:41:04+00:00,489819
9,rt thank join live stream hear progress team made last year case miss,2022-12-02 16:22:54+00:00,0
10,fafo,2022-12-02 05:23:24+00:00,195800
11,rt tesla semi drive 500 mile fulli load singl charg,2022-12-02 02:15:33+00:00,0
12,tesla semi truck launch 5 min,2022-12-02 01:02:54+00:00,99671
13,go live twitter 20 min,2022-12-02 00:42:50+00:00,51778
14,congratul japan,2022-12-01 20:55:14+00:00,717033
15,ai get realli good,2022-12-01 20:31:11+00:00,57778
16,meet mani peopl read twitter day never tweet beg indulg pleas add,2022-12-01 18:18:59+00:00,598808
17,lot peopl stuck damn crazi chatgpt loop,2022-12-01 16:58:25+00:00,80885
18,remind tap star icon upper right screen switch latest peopl follow recommend tweet,2022-12-01 15:24:45+00:00,157526
19,twitter purg lot spam scam account right now see follow count drop,2022-12-01 03:32:07+00:00,702939
20,excit neuralink updat 30 min,2022-12-01 01:30:26+00:00,56084
21,thank take around appl s beauti hq,2022-11-30 20:26:14+00:00,446508
22,rt twitter 2 0 mission faster innov transpar,2022-11-30 18:56:34+00:00,0
23,rt falcon 9 vertic pad 40 florida ahead launch hakuto r mission 1 first privat led japan,2022-11-30 17:13:06+00:00,0
24,updat 6pm pt,2022-11-30 15:54:33+00:00,111681
25,twitter core servic latenc reduc 400ms feel notic faster,2022-11-30 05:45:48+00:00,327965
26,littl progress mar,2022-11-29 23:31:45+00:00,142287
27,battl futur civil free speech lost even america tyranni lie ahead,2022-11-29 01:41:40+00:00,919025
28,rt look forward world found upon four essenti human freedom first freedom speech express everywh,2022-11-29 01:36:41+00:00,0
29,twitter file free speech suppress soon publish twitter public deserv know realli happen,2022-11-28 21:09:07+00:00,856145
30,rt appl transpar process probabl monopoli,2022-11-28 20:46:38+00:00,0
31,rt appl support free speech,2022-11-28 20:46:36+00:00,0
32,know appl put secret 30 tax everyth buy app store,2022-11-28 18:50:40+00:00,260871
33,appl threaten withhold twitter app store tell,2022-11-28 18:43:20+00:00,671187
34,appl publish censorship action taken affect custom,2022-11-28 18:26:17+00:00,188953
35,accur,2022-11-28 18:18:40+00:00,225410
36,appl censor,2022-11-28 18:07:57+00:00,150103
37,appl most stop advertis twitter hate free speech america,2022-11-28 17:45:31+00:00,640093
38,,2022-11-28 17:25:21+00:00,160454
39,,2022-11-28 10:59:40+00:00,173985
40,,2022-11-28 10:09:22+00:00,476011
41,bedsid tabl,2022-11-28 09:48:26+00:00,894068
42,amount pro psi op twitter ridicul new verifi pay 8 privileg haha,2022-11-28 09:44:01+00:00,186534
43,twitter experienc slight degrad servic today old 3rd parti tool use block account,2022-11-28 01:00:23+00:00,242459
44,note encourag peopl differ polit view engag civil debat twitter worst,2022-11-27 19:00:41+00:00,323841
45,slide twitter compani talk,2022-11-27 04:13:34+00:00,252000
46,starri starri night,2022-11-27 04:03:10+00:00,161585
47,tesla team complet 500 mile drive tesla semi weigh 81 000 lbs,2022-11-27 03:15:33+00:00,370953
48,follow world cup twitter best real time coverag,2022-11-26 21:44:45+00:00,193240
49,rt falcon 9 launch dragon,2022-11-26 21:07:22+00:00,0
50,rt dragon separ confirm autonom dock sunday novemb 27 7 30 m et,2022-11-26 19:44:45+00:00,0
51,rt falcon 9 s first stage land read instruct droneship,2022-11-26 19:44:42+00:00,0
52,rt liftoff,2022-11-26 19:44:36+00:00,0
53,simpson s predict buy twitter s26e12,2022-11-26 08:56:57+00:00,288498
54,think cultur war,2022-11-25 09:26:55+00:00,244817
55,thanksgiv cuisin delight symphoni flavor,2022-11-25 01:42:19+00:00,266822
56,rt happi thanksgiv thank tesla team owner fan help acceler world s transit sustain,2022-11-24 18:09:44+00:00,0
57,notic small sometim major improv speed twitter especi signific countri far away usa,2022-11-24 07:42:00+00:00,258138
58,tesla full self drive beta now avail anyon north america request car screen assum,2022-11-24 07:34:46+00:00,175870
59,hate speech impress 1 3 pre spike level congrat twitter team,2022-11-24 04:07:18+00:00,263464
60,rt stronger roi advertis relev ad everyon new twitter solut now live,2022-11-24 01:44:00+00:00,0
61,great thanksgiv,2022-11-24 01:26:07+00:00,634223
62,awesom new twitter merch,2022-11-23 21:50:48+00:00,559747
63,world cup traffic hit 20 000 tweet per second today great work twitter team manag record usag,2022-11-23 19:51:48+00:00,358443
64,twitter offer general amnesti suspend account provid broken law engag egregi spam,2022-11-23 17:46:29+00:00,267233
65,time hew closer truth twitter earn trust peopl,2022-11-23 10:06:41+00:00,380983
66,best life,2022-11-23 08:50:48+00:00,282044
67,rt deploy eutelsat 10b confirm,2022-11-23 05:36:57+00:00,0
68,rt liftoff,2022-11-23 03:00:58+00:00,0
69,found closet twitter hq fr,2022-11-23 03:00:12+00:00,648399
70,rt 40k supercharg around world count,2022-11-23 00:15:34+00:00,0
71,twitter suppos die now someth,2022-11-23 00:07:54+00:00,982626
72,wait tweet count work,2022-11-22 07:54:03+00:00,686134
73,tactic mistak,2022-11-22 01:31:08+00:00,162477
74,twitter ad 1 6m daili activ user past week anoth time high,2022-11-22 01:28:00+00:00,386113
75,hold relaunch blue verifi high confid stop imperson probabl use,2022-11-22 01:11:15+00:00,243200
76,starlink now work high latitud,2022-11-21 23:29:28+00:00,89583
77,tesla megapack high effect address electr demand spike power outag,2022-11-21 23:02:29+00:00,43867
78,experi want igor,2022-11-21 20:22:43+00:00,170411
79,fanatic alway function repress doubt dune,2022-11-21 19:22:25+00:00,126401
80,hope judgi hall monitor stay platform pleas beg,2022-11-21 18:20:47+00:00,362003
81,twitter fun,2022-11-21 17:56:15+00:00,617755
82,love never die,2022-11-21 01:55:54+00:00,481178
83,lead temptat,2022-11-21 01:19:15+00:00,1099277
84,world cup qatar 2022 open ceremoni,2022-11-20 22:21:31+00:00,131902
85,world cup start soon follow twitter best coverag far,2022-11-20 14:40:09+00:00,495569
86,twitter aliv,2022-11-20 04:50:20+00:00,1451947
87,rt insid tesla exhibit petersen automot museum open tomorrow,2022-11-20 03:08:52+00:00,0
88,rt twitter server right now,2022-11-20 02:08:11+00:00,0
89,peopl spoken trump reinstat vox populi vox dei,2022-11-20 00:53:25+00:00,963861
90,entertain outcom variant occam s razor,2022-11-19 21:19:48+00:00,173607
91,fascin watch twitter trump poll,2022-11-19 13:23:21+00:00,456974
92,tesla fsd 10 69 3 1 go wide releas now,2022-11-19 09:37:51+00:00,120062
93,leav twitter hq code review,2022-11-19 09:28:36+00:00,463696
94,trump poll get 1m vote hour,2022-11-19 09:05:35+00:00,618541
95,reinstat former presid trump,2022-11-19 00:47:45+00:00,839437
96,first world cup match sunday watch twitter best coverag amp real time commentari,2022-11-18 22:07:39+00:00,617244
97,new twitter polici freedom speech freedom reach negat hate tweet max deboost amp de,2022-11-18 18:31:47+00:00,415000
98,freedom friday,2022-11-18 18:22:01+00:00,383896
99,twitter next,2022-11-18 17:38:07+00:00,515801
100,,2022-11-18 15:16:30+00:00,792282
101,,2022-11-18 06:40:12+00:00,343127
102,,2022-11-18 04:23:16+00:00,2137439
103,,2022-11-18 04:20:14+00:00,541681
104,hit anoth time high twitter usag lol,2022-11-18 04:07:05+00:00,722029
105,make small fortun social media start larg one,2022-11-18 01:25:55+00:00,459495
106,twitter open sourc news,2022-11-17 15:26:13+00:00,402483
107,coverag ftx meltdown incompar faster better qualiti twitter old school media,2022-11-17 08:35:22+00:00,316134
108,rt model s receiv highest overal score euro ncap vehicl test current protocol,2022-11-16 19:26:11+00:00,0
109,rt live now era explor begin today first integr test flight rocket sp,2022-11-16 06:48:24+00:00,0
110,rt,2022-11-16 04:21:58+00:00,0
111,punt relaunch blue verifi novemb 29th make sure rock solid,2022-11-15 23:18:02+00:00,224450
112,welcom back ligma amp johnson,2022-11-15 20:40:54+00:00,762344
113,twitter news,2022-11-15 09:19:19+00:00,426699
114,sìì,2022-11-14 20:32:17+00:00,42319
115,recent trend promis,2022-11-14 18:49:43+00:00,133515
116,way apolog twitter super slow mani countri app gt 1000 poor batch rpcs j,2022-11-13 18:00:58+00:00,174671
117,roll soon twitter enabl organ identifi twitter account actual associ,2022-11-13 17:52:01+00:00,233232
118,twitter feel increas aliv,2022-11-13 17:16:52+00:00,566983
119,order,2022-11-12 23:31:02+00:00,76613
120,rt join grow team instal solar powerwal,2022-11-12 17:44:07+00:00,0
121,rt tesla solar powerwal power home amp reduc depend grid lowest price https,2022-11-12 17:44:05+00:00,0
122,rt deploy galaxi 31 confirm,2022-11-12 17:41:04+00:00,0
123,rt liftoff,2022-11-12 17:40:36+00:00,0
124,,2022-11-12 07:36:39+00:00,443730
125,twitter,2022-11-12 07:04:19+00:00,100575
126,ftx meltdown ransack track real time twitter,2022-11-12 06:14:13+00:00,218615
127,rt happi veteran day serv,2022-11-11 18:34:56+00:00,0
128,rt pursuit mission today open ev connector design,2022-11-11 18:16:34+00:00,0
129,twitter pursu goal elev citizen journal media elit tri everyth stop happen,2022-11-11 17:30:16+00:00,383337
130,twitter hq great real pic,2022-11-11 16:14:45+00:00,172767
131,quit day,2022-11-11 07:30:42+00:00,216794
132,go forward account engag parodi includ parodi name bio,2022-11-11 01:51:49+00:00,358315
133,usag twitter continu rise one thing sure bore,2022-11-10 19:15:51+00:00,443323
134,love peopl complain twitter twitter,2022-11-10 17:17:22+00:00,1328483
135,,2022-11-10 16:41:54+00:00,323722
136,see far fewer bot scam spam,2022-11-10 07:47:53+00:00,82945
137,rt,2022-11-09 18:56:24+00:00,0
138,pleas note twitter lot dumb thing come month keep work amp chang,2022-11-09 16:44:47+00:00,536259
139,complaint hotlin oper onlin pleas mention complaint,2022-11-09 16:40:53+00:00,369248
140,twitter worst best,2022-11-08 15:32:13+00:00,647892
141,,2022-11-08 01:28:07+00:00,688408
142,twitter usag time high lol,2022-11-08 00:57:29+00:00,711363
143,clear histor parti affili independ actual vote histori entir democrat year,2022-11-07 20:50:47+00:00,368996
144,rt meet megafactori new megapack factori lathrop ca,2022-11-07 16:32:25+00:00,0
145,rt view destin charger,2022-11-07 16:32:21+00:00,0
146,independ mind voter share power curb worst excess parti therefor recommend vote,2022-11-07 15:22:16+00:00,414138
147,time chang,2022-11-07 14:52:44+00:00,339696
148,twitter rule evolv time current follow,2022-11-07 13:22:14+00:00,104810
149,commit free speech extend even ban account follow plane even though direct person safeti risk,2022-11-07 00:30:30+00:00,397493
150,twitter need becom far accur sourc inform world mission,2022-11-07 00:25:19+00:00,763162
151,widespread verif democrat journal amp empow voic peopl,2022-11-06 23:43:30+00:00,298866
152,go forward twitter handl engag imperson without clear specifi parodi perman suspend,2022-11-06 22:53:42+00:00,648311
153,search within twitter remind infoseek 98 lot better pronto,2022-11-05 22:31:00+00:00,263488
154,rt design amp manufactur actuat optimus robot,2022-11-05 22:15:44+00:00,0
155,twitter soon add abil attach long form text tweet end absurd notepad screenshot,2022-11-05 21:39:56+00:00,604652
156,rock,2022-11-05 20:30:08+00:00,231368
157,,2022-11-05 17:26:42+00:00,151421
158,trash day cost 8,2022-11-05 04:30:55+00:00,1364117
159,power peopl,2022-11-05 03:45:01+00:00,715706
160,rt full scale hyperloop test begun,2022-11-05 02:40:15+00:00,0
161,regard twitter s reduct forc unfortun choic compani lose 4m day,2022-11-04 23:14:54+00:00,518232
162,crystal clear twitter s strong commit content moder remain absolut unchang fac,2022-11-04 22:54:50+00:00,290184
163,excel summari twitter s trust amp safeti head team,2022-11-04 22:38:28+00:00,53754
164,rt life starbas,2022-11-04 21:09:22+00:00,0
165,twitter massiv drop revenu due activist group pressur advertis even though noth c,2022-11-04 14:28:20+00:00,700564
166,tini talk talk small feel come mind,2022-11-04 05:10:27+00:00,163804
167,small talk even legal,2022-11-04 04:45:15+00:00,478322
168,neuron realiz neuron,2022-11-03 08:35:20+00:00,359187
169,consist billion bidirect interact per day twitter thought collect c,2022-11-03 08:13:41+00:00,218450
170,rt entitl elit mad pay 8 month mad anyon pay 8 month,2022-11-03 07:08:50+00:00,0
171,,2022-11-03 06:48:24+00:00,165712
172,rt deploy eutelsat hotbird 13g confirm,2022-11-03 06:05:36+00:00,0
173,,2022-11-02 21:43:59+00:00,449365
174,,2022-11-02 21:04:56+00:00,461803
175,advertis support,2022-11-02 20:09:41+00:00,178255
176,,2022-11-02 19:47:39+00:00,1885903
177,twitter simpli interest place internet read tweet right now,2022-11-02 18:42:40+00:00,621374
178,attack right amp left simultan good sign,2022-11-02 18:27:00+00:00,759981
179,pay,2022-11-02 17:05:26+00:00,754975
180,twitter speak inner masochist,2022-11-02 02:23:07+00:00,232699
181,complain pleas continu complain cost 8,2022-11-02 02:06:16+00:00,1102001
182,rt stay vigil attempt manipul convers 2022 midterm read independ analysi,2022-11-02 01:56:53+00:00,0
183,rt wow amaz,2022-11-01 21:12:58+00:00,0
184,,2022-11-01 19:15:19+00:00,506645
185,twitter s current lord amp peasant system blue checkmark bullshit power,2022-11-01 17:36:48+00:00,607857
186,rt falcon heavi launch ussf 44 orbit two side booster return earth spacex s 50th mission 2022,2022-11-01 17:22:50+00:00,0
187,sonic boom,2022-11-01 13:54:13+00:00,145290
188,falcon heavi launch 30 min,2022-11-01 13:15:20+00:00,53853
189,,2022-11-01 04:17:24+00:00,1012968
190,halloween mom,2022-11-01 04:15:02+00:00,1123449
191,rt happi halloween transformerskid instagram,2022-11-01 03:31:28+00:00,0
192,rt falcon heavi roll ramp ahead tomorrow s target launch ussf 44 mission weather 90 favor lifto,2022-10-31 22:06:15+00:00,0
193,dollar time someon ask trump come back platform twitter mint money,2022-10-31 17:10:05+00:00,949430
194,bring back vine,2022-10-31 03:11:41+00:00,249482
195,wachtel amp twitter board deliber hid evid court stay tune come,2022-10-31 01:00:53+00:00,287614
196,fake tweet link new york time,2022-10-31 00:04:28+00:00,693665
197,rt 20k model y built giga texa date,2022-10-30 12:56:06+00:00,0
198,receiv email twitter actual real email autogener,2022-10-30 11:25:19+00:00,528884
199,final truth carb amaz platform,2022-10-29 17:35:45+00:00,685630
200,fresh bake bread amp pastri great joy life,2022-10-29 17:33:16+00:00,527157
201,super clear made chang twitter s content moder polici,2022-10-29 00:14:33+00:00,247773
202,ligma johnson come,2022-10-28 21:33:03+00:00,667518
203,comedi now legal twitter,2022-10-28 21:16:42+00:00,2381173
204,rt solar powerwal ensur never lose power even grid goe,2022-10-28 21:03:05+00:00,0
205,twitter form content moder council wide divers viewpoint major content decis o,2022-10-28 18:18:55+00:00,610709
206,good time roll,2022-10-28 12:09:02+00:00,988075
207,bird freed,2022-10-28 03:49:11+00:00,2479337
208,falcon rocket orbit seen la,2022-10-28 01:50:49+00:00,451063
209,rt falcon 9 s first stage land cours still love droneship,2022-10-28 01:25:24+00:00,0
210,rt liftoff,2022-10-28 01:25:20+00:00,0
211,rt watch falcon 9 launch 53 starlink satellit,2022-10-28 01:25:16+00:00,0
212,rt twitter headquart coffe bar,2022-10-27 16:28:38+00:00,0
213,twitter advertis,2022-10-27 13:08:00+00:00,745940
214,enter twitter hq sink,2022-10-26 18:45:58+00:00,1392192
215,beauti thing twitter empow citizen journal peopl dissemin news without establish bias,2022-10-26 15:27:40+00:00,379455
216,new york time emerg new chaotic actor global polit paper s intervent th,2022-10-26 14:48:22+00:00,131547
217,work move land object,2022-10-25 23:26:39+00:00,56269
218,lesson took longest unlearn,2022-10-25 04:33:08+00:00,161368
219,διαλεκτική,2022-10-25 01:25:34+00:00,104371
220,rt starlink now avail jamaica,2022-10-24 18:09:30+00:00,0
221,rt falcon heavi hangar launch complex 39a,2022-10-23 23:02:25+00:00,0
222,think decid current thing accept,2022-10-23 13:26:21+00:00,121538
223,decid current thing real question know,2022-10-23 13:21:51+00:00,123038
224,neuralink show amp tell now nov 30,2022-10-23 12:19:22+00:00,66584
225,know noth forev,2022-10-23 00:29:28+00:00,215814
226,rt border chang time,2022-10-22 21:04:27+00:00,0
227,rt launch catch tower stack starship starbas,2022-10-21 22:35:01+00:00,0
228,rt vote new supercharg locat,2022-10-21 21:46:05+00:00,0
229,rt advanc paint system allow 13 layer depth dimens amp hand paint look,2022-10-21 21:45:15+00:00,0
230,giga berlin make color paint shop special built appli mani fine layer paint givin,2022-10-21 06:34:33+00:00,45767
231,rt,2022-10-21 06:01:32+00:00,0
232,,2022-10-21 03:31:20+00:00,242975
233,congrat team 48th launch year falcon 9 now hold record launch singl vehicl type year,2022-10-20 16:31:46+00:00,78631
234,rt deploy 54 starlink satellit confirm,2022-10-20 16:05:22+00:00,0
235,rt 10 year supercharg 46 countri 35k stall 20 billion mile charg,2022-10-20 01:12:50+00:00,0
236,rt q3 earn call,2022-10-19 20:06:16+00:00,0
237,rt tesla semi deliveri schedul begin decemb 2022,2022-10-19 20:06:10+00:00,0
238,matter take,2022-10-19 18:46:58+00:00,404267
239,vox populi vox dei,2022-10-19 16:59:23+00:00,54529
240,internet airplan feel access internet home,2022-10-19 03:37:07+00:00,100772
241,28 700 bottl exquisit burnt hair perfum alreadi sold 1 300 left uniqu limit edit col,2022-10-19 01:42:18+00:00,47241
242,rt spacex s rideshar program s redesign payload configur offer opportun smallsat provid catch ride,2022-10-18 23:51:00+00:00,0
243,drone war,2022-10-18 14:35:49+00:00,56023
244,except well,2022-10-17 12:32:40+00:00,59505
245,other want donat starlink place need,2022-10-17 06:55:10+00:00,63564
246,deus x machina,2022-10-16 21:51:48+00:00,66659
247,true,2022-10-16 14:26:13+00:00,242977
248,fanci game meme tenni,2022-10-16 05:17:46+00:00,46611
249,hear dyslex kbg agent pot secret,2022-10-16 04:51:35+00:00,93805
250,pitch idea crossov das boot amp boss babi das babi hijink high sea,2022-10-16 03:41:07+00:00,32541
251,hell even though starlink still lose money amp compani get billion taxpay,2022-10-15 18:06:20+00:00,509119
252,rt deploy eutelsat hotbird 13f confirm,2022-10-15 06:11:44+00:00,0
253,rt falcon 9 s first stage land read instruct droneship,2022-10-15 06:11:40+00:00,0
254,rt liftoff,2022-10-15 06:11:37+00:00,0
255,yay,2022-10-14 20:56:54+00:00,25534
256,rt main parachut deploy,2022-10-14 20:56:19+00:00,0
257,rt dragon separ confirm,2022-10-14 16:23:36+00:00,0
258,20 000,2022-10-13 02:50:21+00:00,193007
259,,2022-10-13 00:10:10+00:00,303896
260,rt denni akiko tito first two crewmemb starship s second commerci spaceflight around moon,2022-10-12 23:39:42+00:00,0
261,need differ name basic starlink roam capabl take te,2022-10-12 21:41:33+00:00,26840
262,pleas buy perfum buy twitter,2022-10-12 21:09:41+00:00,581420
263,rt starship 24 booster 7 fulli stack orbit launch pad starbas,2022-10-12 05:18:54+00:00,0
264,10 000 bottl burnt hair sold,2022-10-12 04:42:30+00:00,79314
265,rt view droneship falcon 9 s launch land,2022-10-12 02:37:44+00:00,0
266,5000 bottl burnt hair sold,2022-10-12 00:38:24+00:00,65921
267,,2022-10-11 23:19:19+00:00,241173
268,name mine get fragranc busi inevit even fight long,2022-10-11 23:16:41+00:00,229307
269,finest fragranc earth,2022-10-11 23:06:23+00:00,128613
270,mayb one day final achiev,2022-10-11 20:53:14+00:00,156106
271,,2022-10-11 20:39:00+00:00,68551
272,rt starlink,2022-10-10 21:40:39+00:00,0
273,come soon,2022-10-09 14:18:42+00:00,66050
274,eye eye leav everyon blind,2022-10-09 13:19:37+00:00,96186
275,,2022-10-09 11:12:07+00:00,102626
276,rt falcon 9 s first stage land shortfal gravita droneship 14th launch land booster https,2022-10-08 23:37:39+00:00,0
277,case miss tesla ai day 2022,2022-10-07 14:11:05+00:00,42019
