,Tweet,Time,nb_favorites
100,,2022-11-18 06:40:12+00:00,342750
101,,2022-11-18 04:23:16+00:00,2136677
102,,2022-11-18 04:20:14+00:00,541148
103,hit anoth time high twitter usag lol,2022-11-18 04:07:05+00:00,721348
104,make small fortun social media start larg one,2022-11-18 01:25:55+00:00,458958
105,twitter open sourc news,2022-11-17 15:26:13+00:00,402353
106,coverag ftx meltdown incompar faster better qualiti twitter old school media,2022-11-17 08:35:22+00:00,316097
107,rt model s receiv highest overal score euro ncap vehicl test current protocol,2022-11-16 19:26:11+00:00,0
108,rt live now era explor begin today first integr test flight rocket sp,2022-11-16 06:48:24+00:00,0
109,rt,2022-11-16 04:21:58+00:00,0
110,punt relaunch blue verifi novemb 29th make sure rock solid,2022-11-15 23:18:02+00:00,224448
111,welcom back ligma amp johnson,2022-11-15 20:40:54+00:00,762369
112,twitter news,2022-11-15 09:19:19+00:00,426742
113,sìì,2022-11-14 20:32:17+00:00,42311
114,recent trend promis,2022-11-14 18:49:43+00:00,133524
115,way apolog twitter super slow mani countri app gt 1000 poor batch rpcs j,2022-11-13 18:00:58+00:00,174664
116,roll soon twitter enabl organ identifi twitter account actual associ,2022-11-13 17:52:01+00:00,232834
117,twitter feel increas aliv,2022-11-13 17:16:52+00:00,566283
118,order,2022-11-12 23:31:02+00:00,76686
119,rt join grow team instal solar powerwal,2022-11-12 17:44:07+00:00,0
120,rt tesla solar powerwal power home amp reduc depend grid lowest price https,2022-11-12 17:44:05+00:00,0
121,rt deploy galaxi 31 confirm,2022-11-12 17:41:04+00:00,0
122,rt liftoff,2022-11-12 17:40:36+00:00,0
123,,2022-11-12 07:36:39+00:00,444176
124,twitter,2022-11-12 07:04:19+00:00,100746
125,ftx meltdown ransack track real time twitter,2022-11-12 06:14:13+00:00,218625
126,rt happi veteran day serv,2022-11-11 18:34:56+00:00,0
127,rt pursuit mission today open ev connector design,2022-11-11 18:16:34+00:00,0
